timestamp,actualtime(ms),compr1data,compr2data,ejectdata,precompdata,compr1punchno,compr2punchno,ejectpunchno,precomppunchno,punch1-sticking,punch2-sticking,punch3-sticking,punch4-sticking,punch5-sticking,punch6-sticking,punch7-sticking,punch8-sticking,pressname,punchtype,headflatradius,rimradius,numberofstations,numberofsides,maxtabletrate,layers,maincomprollerradius1,maincomprollerradius2,maincomprollerradius3,turretpitchcircleradius,precomprollerradius,anglebetweenpreandmain,anglebetweenmainandeject,ejectionangle,turretspeed,feedertype,feederspeed,materialsinformation,relative_time,absolute_time,datetime,time_str,compression_force_1,compression_force_2,ejection_force,pre_compression_force,sticking,normal
1622000,2025-05-12T11:59:11.622,103,0,517,0,3,0,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,0.0,1622000,2025-05-12 11:59:11.622,11:59:11.622000,103,0,517,0,0,1
1624000,2025-05-12T11:59:11.624,99,0,576,0,3,0,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,2.0,1624000,2025-05-12 11:59:11.624,11:59:11.624000,99,0,576,0,0,1
1626000,2025-05-12T11:59:11.626,101,0,575,0,3,0,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,4.0,1626000,2025-05-12 11:59:11.626,11:59:11.626000,101,0,575,0,0,1
1628000,2025-05-12T11:59:11.628,94,0,556,0,3,0,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,6.0,1628000,2025-05-12 11:59:11.628,11:59:11.628000,94,0,556,0,0,1
1630000,2025-05-12T11:59:11.630,103,0,587,0,3,0,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,8.0,1630000,2025-05-12 11:59:11.630,11:59:11.630000,103,0,587,0,0,1
1632000,2025-05-12T11:59:11.632,102,0,582,0,3,0,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,10.0,1632000,2025-05-12 11:59:11.632,11:59:11.632000,102,0,582,0,0,1
1634000,2025-05-12T11:59:11.634,113,0,578,0,3,0,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,12.0,1634000,2025-05-12 11:59:11.634,11:59:11.634000,113,0,578,0,0,1
1636000,2025-05-12T11:59:11.636,98,0,546,0,3,0,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,14.0,1636000,2025-05-12 11:59:11.636,11:59:11.636000,98,0,546,0,0,1
1638000,2025-05-12T11:59:11.638,106,0,521,0,3,0,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,16.0,1638000,2025-05-12 11:59:11.638,11:59:11.638000,106,0,521,0,0,1
1640000,2025-05-12T11:59:11.640,0,35,528,0,0,3,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,18.0,1640000,2025-05-12 11:59:11.640,11:59:11.640000,0,35,528,0,0,1
