timestamp,actualtime(ms),compr1data,compr2data,ejectdata,precompdata,compr1punchno,compr2punchno,ejectpunchno,precomppunchno,punch1-sticking,punch2-sticking,punch3-sticking,punch4-sticking,punch5-sticking,punch6-sticking,punch7-sticking,punch8-sticking,pressname,punchtype,headflatradius,rimradius,numberofstations,numberofsides,maxtabletrate,layers,maincomprollerradius1,maincomprollerradius2,maincomprollerradius3,turretpitchcircleradius,precomprollerradius,anglebetweenpreandmain,anglebetweenmainandeject,ejectionangle,turretspeed,feedertype,feederspeed,materialsinformation,relative_time,absolute_time,datetime,time_str,compression_force_1,compression_force_2,ejection_force,pre_compression_force,sticking,normal
17850000,2025-05-15T15:11:57.850,0,25,567,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,0.0,17850000,2025-05-15 15:11:57.850,15:11:57.850000,0,25,567,0,0,1
17852000,2025-05-15T15:11:57.852,0,48,511,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,2.0,17852000,2025-05-15 15:11:57.852,15:11:57.852000,0,48,511,0,0,1
17854000,2025-05-15T15:11:57.854,0,59,514,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,4.0,17854000,2025-05-15 15:11:57.854,15:11:57.854000,0,59,514,0,0,1
17856000,2025-05-15T15:11:57.856,0,43,511,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,6.0,17856000,2025-05-15 15:11:57.856,15:11:57.856000,0,43,511,0,0,1
17858000,2025-05-15T15:11:57.858,0,40,583,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,8.0,17858000,2025-05-15 15:11:57.858,15:11:57.858000,0,40,583,0,0,1
17860000,2025-05-15T15:11:57.860,0,42,571,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,10.0,17860000,2025-05-15 15:11:57.860,15:11:57.860000,0,42,571,0,0,1
17862000,2025-05-15T15:11:57.862,0,49,507,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,12.0,17862000,2025-05-15 15:11:57.862,15:11:57.862000,0,49,507,0,0,1
17864000,2025-05-15T15:11:57.864,0,41,564,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,14.0,17864000,2025-05-15 15:11:57.864,15:11:57.864000,0,41,564,0,0,1
17866000,2025-05-15T15:11:57.866,0,57,556,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,16.0,17866000,2025-05-15 15:11:57.866,15:11:57.866000,0,57,556,0,0,1
17868000,2025-05-15T15:11:57.868,0,34,589,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,18.0,17868000,2025-05-15 15:11:57.868,15:11:57.868000,0,34,589,0,0,1
17870000,2025-05-15T15:11:57.870,0,62,523,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,20.0,17870000,2025-05-15 15:11:57.870,15:11:57.870000,0,62,523,0,0,1
17872000,2025-05-15T15:11:57.872,0,47,518,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,22.0,17872000,2025-05-15 15:11:57.872,15:11:57.872000,0,47,518,0,0,1
17874000,2025-05-15T15:11:57.874,0,17,529,0,0,4,0,0,0,0,0,0,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,24.0,17874000,2025-05-15 15:11:57.874,15:11:57.874000,0,17,529,0,0,1
