timestamp,actualtime(ms),compr1data,compr2data,ejectdata,precompdata,compr1punchno,compr2punchno,ejectpunchno,precomppunchno,punch1-sticking,punch2-sticking,punch3-sticking,punch4-sticking,punch5-sticking,punch6-sticking,punch7-sticking,punch8-sticking,pressname,punchtype,headflatradius,rimradius,numberofstations,numberofsides,maxtabletrate,layers,maincomprollerradius1,maincomprollerradius2,maincomprollerradius3,turretpitchcircleradius,precomprollerradius,anglebetweenpreandmain,anglebetweenmainandeject,ejectionangle,turretspeed,feedertype,feederspeed,materialsinformation,relative_time,absolute_time,datetime,time_str,compression_force_1,compression_force_2,ejection_force,pre_compression_force,sticking,normal
86520000,2025-05-24T11:46:27.520,97,0,547,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,0.0,86520000,2025-05-24 11:46:27.520,11:46:27.520000,97,0,547,0,3,0
86522000,2025-05-24T11:46:27.522,101,0,543,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,2.0,86522000,2025-05-24 11:46:27.522,11:46:27.522000,101,0,543,0,3,0
86524000,2025-05-24T11:46:27.524,93,0,511,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,4.0,86524000,2025-05-24 11:46:27.524,11:46:27.524000,93,0,511,0,3,0
86526000,2025-05-24T11:46:27.526,103,0,551,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,6.0,86526000,2025-05-24 11:46:27.526,11:46:27.526000,103,0,551,0,3,0
86528000,2025-05-24T11:46:27.528,91,0,511,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,8.0,86528000,2025-05-24 11:46:27.528,11:46:27.528000,91,0,511,0,3,0
86530000,2025-05-24T11:46:27.530,105,0,564,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,10.0,86530000,2025-05-24 11:46:27.530,11:46:27.530000,105,0,564,0,3,0
86532000,2025-05-24T11:46:27.532,105,0,538,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,12.0,86532000,2025-05-24 11:46:27.532,11:46:27.532000,105,0,538,0,3,0
86534000,2025-05-24T11:46:27.534,123,0,549,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,14.0,86534000,2025-05-24 11:46:27.534,11:46:27.534000,123,0,549,0,3,0
86536000,2025-05-24T11:46:27.536,95,0,537,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,16.0,86536000,2025-05-24 11:46:27.536,11:46:27.536000,95,0,537,0,3,0
86538000,2025-05-24T11:46:27.538,86,0,525,0,1,0,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,18.0,86538000,2025-05-24 11:46:27.538,11:46:27.538000,86,0,525,0,3,0
86540000,2025-05-24T11:46:27.540,0,48,576,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,20.0,86540000,2025-05-24 11:46:27.540,11:46:27.540000,0,48,576,0,3,0
86542000,2025-05-24T11:46:27.542,0,56,541,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,22.0,86542000,2025-05-24 11:46:27.542,11:46:27.542000,0,56,541,0,3,0
86544000,2025-05-24T11:46:27.544,0,73,518,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,24.0,86544000,2025-05-24 11:46:27.544,11:46:27.544000,0,73,518,0,3,0
86546000,2025-05-24T11:46:27.546,0,53,576,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,26.0,86546000,2025-05-24 11:46:27.546,11:46:27.546000,0,53,576,0,3,0
86548000,2025-05-24T11:46:27.548,0,35,516,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,28.0,86548000,2025-05-24 11:46:27.548,11:46:27.548000,0,35,516,0,3,0
86550000,2025-05-24T11:46:27.550,0,34,531,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,30.0,86550000,2025-05-24 11:46:27.550,11:46:27.550000,0,34,531,0,3,0
86552000,2025-05-24T11:46:27.552,0,46,580,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,32.0,86552000,2025-05-24 11:46:27.552,11:46:27.552000,0,46,580,0,3,0
86554000,2025-05-24T11:46:27.554,0,32,574,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,34.0,86554000,2025-05-24 11:46:27.554,11:46:27.554000,0,32,574,0,3,0
86556000,2025-05-24T11:46:27.556,0,46,557,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,36.0,86556000,2025-05-24 11:46:27.556,11:46:27.556000,0,46,557,0,3,0
86558000,2025-05-24T11:46:27.558,0,37,533,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,38.0,86558000,2025-05-24 11:46:27.558,11:46:27.558000,0,37,533,0,3,0
86560000,2025-05-24T11:46:27.560,0,40,585,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,40.0,86560000,2025-05-24 11:46:27.560,11:46:27.560000,0,40,585,0,3,0
86562000,2025-05-24T11:46:27.562,0,40,575,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,42.0,86562000,2025-05-24 11:46:27.562,11:46:27.562000,0,40,575,0,3,0
86564000,2025-05-24T11:46:27.564,0,49,586,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,44.0,86564000,2025-05-24 11:46:27.564,11:46:27.564000,0,49,586,0,3,0
86566000,2025-05-24T11:46:27.566,0,18,556,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,46.0,86566000,2025-05-24 11:46:27.566,11:46:27.566000,0,18,556,0,3,0
86568000,2025-05-24T11:46:27.568,0,55,530,0,0,1,0,0,0,0,0,3,0,0,0,0,Piccola Classic,IPT(TSM)-D,,,8,,,Single,,,,,,,,,30,Agitating,10,Diluent - Starch:99.90%;Lubricant - Magnesium Stearate:0.10%,48.0,86568000,2025-05-24 11:46:27.568,11:46:27.568000,0,55,530,0,3,0
